mini solar, mini photovoltaic, mini photovoltaique, small scale solar, small scale Pv, small PV, mini solaire, small solar, rural solar, mini-solar, mini-solaire, mini-photovoltaic, mini-photovoltaique, small-scale solar, mini-fotovoltaica, mini fotovoltaica,,,,,,,
fiber optic, fibre optique, optic fiber, optical fiber, fibre optic, optical network, optic network, optical networks, wireless network, wireless networks, utility communication, modem, broadband, broad band, router, optic fibre,optical fibre,,,,,,
intelligent electronic devices, intelligent electronic device, IED,,,,,,,,,,,,,,,,,,,,
 reclosers, recloser,,,,,,,,,,,,,,,,,,,,,
 disconnect switches, disconnect switch,disconnecting switch,disconnecting switches,disconnected switch,disconnected switches,,,,,,,,,,,,,,,,,
 capacitor controllers, switch controller, capacitor controller, switch controllers,,,,,,,,,,,,,,,,,,,
 capacitor bank controller, capacitor bank controllers, capacitor bank control, control of capacitor, control of capacitors,,,,,,,,,,,,,,,,,,
VOLT VAR Optimization, VVO, conservation voltage, voltage reduction, voltage conservation, reduction of voltage, CVR,Conservation Voltage Reduction,,,,,,,,,,,,,,,
Piu,process interface unit,,,,,,,,,,,,,,,,,,,,,
PMU,Phasor measurment Unit,unité de mesure de phases,,,,,,,,,,,,,,,,,,,,
 remote control, remote system, remote monitoring, monitoring platform,contrôle à distance,distance control,,,,,,,,,,,,,,,,,
Fault location, Fault locating, fault locator, location of cable fault, location of earth fault, locating the fault, location of cable faults, faults locator, fault detection, faults detection, fault detector, faults detector, fault detectors, fault indicator, fault indicators, fault isolation, fault restoration, fault service, fault passage, FLISR,fault path,,
emergency battery, emergency batteries, batterie de secours, batteries de secours,,,,,,,,,,,,,,,,,,,
electric pump, electric pumps, electrical pump, electrical pumps, electric pumping, electric pumpings, electrical pumping, electrical pumpings,,,,,,,,,,,,,,,
street light, street lights, streetlight, streetlights, streetlighting, streetlightings, street lightings, street lighting,élairage urbain,éclairage de rue, lampadaires, lampadaire,street light pole,,,,,,,,,,
éclairage solaire,lampadaire solaire,solar lighting,solar light,lampe solaire,lamp solar,Solar streetlight,Solar Street Light,Solar street lamp,Solar streetlight,,,,,,,,,,,,,
cables accessories, cable accessories, cable accessory, accessoires de cable, accessoire de cable, accessoires de cables, accessoires cables, accessoires de cable,,,,,,,,,,,,,,,
underwater cables, submarine cables, submarine cable, underwater cable, cables sous-marin, cable sous-marin, cables amphibis, cables sous-marins, underwater power cables, submarine power cables,,,,,,,,,,,,,
HV cable, HV cables, high voltage cables, high voltage cable, cable haute tension, cables haute tension, cables haute tension, cable haute tension, cables HT, cable HT, cable HT, cables HT,,,,,,,,,,,
MV cable, MV cables, cables MT, cable MT, medium voltage cable, medium voltage cables, cables moyenne tension, cable moyenne tension, cables moyenne tension, cable moyenne tension,,,,,,,,,,,,,
LV Cables, LV cable, cables BT, cable BT, cables LT, cable LT, cables basse tension, cable basse tension, low voltage cable, low voltage cables, cable basse tension, cables basse tension,,,,,,,,,,,
insulated cable, insulated cables, cables isolés, cable isolé, insulated wires, insulated wire,,,,,,,,,,,,,,,,,
cable, cables, câble,cables,kabel,,,,,,,,,,,,,,,,,,
directional protections, directional protection, relais directionnels, relais directionel, directional relays,,,,,,,,,,,,,,,,,,
 overcurrent protections, over-current protections, over-current protection,overcurrent relay,,,,,,,,,,,,,,,,,,,
feeder protections, feeder protection, feeder relays, feeder relais,,,,,,,,,,,,,,,,,,,
differential protection, differential protections, protection differentielle, protections differentielles, protection différentielle, protections différentielles, relais differentiel, differential relay, differential relays,,,,,,,,,,,,,,
busbar protection, bus bar protection, bus bar protections, busbar protections, busbar relays, bus bar relays, busbar relay, relais de busbar, relais de bus bar, protection busbar, protections busbar,,,,,,,,,,,,
tableaux électriques, tableau électrique, panneaux électriques, panneau électrique, electrical switchboard, electrical switchboards, electric switchboard, electric switchboards, instrument panel, instruments panels,,,,,,,,,,,,,
turbo generator, turbo generateur, turbo generators, generateurs turbo, turbogenerateurs,,,,,,,,,,,,,,,,,,
steam turbine, steam turbines, steam generator, steam generators,,,,,,,,,,,,,,,,,,,
cell fuel, fuel cell, fuel cells, fuel-cell, fuel-cells,,,,,,,,,,,,,,,,,,
power converter, power converters, power supply converter, power supply converters, power convertor, power convertors,converter,convertor,convertisseur de puissance,,,,,,,,,,,,,,
power supply,power supplies,source de courrant,alimentation électrique,,,,,,,,,,,,,,,,,,,
electric motor, electric motors,electric engine,,,,,,,,,,,,,,,,,,,,
collector, collecteur, collectors, collecteurs,,,,,,,,,,,,,,,,,,,
district heater, district heaters, district heating, long distance heating,,,,,,,,,,,,,,,,,,,
steam, hot water,vapeur,,,,,,,,,,,,,,,,,,,,
heater, heaters, heating,,,,,,,,,,,,,,,,,,,,
turbo charger, turbo chargers, turbocharger, turbochargers,chargeur turbo,,,,,,,,,,,,,,,,,,
Metering, smartmeter, energy meter, electricity meter, meter, meters, mètre, mètres, compteur, compteurs,,,,,,,,,,,,,
 AMI, AMR,,,,,,,,,,,,,,,,,,,,,
voltmètres, volt -mètre, volt-mètres, volt meter, energy meters, metering, voltmeter, voltmeters, voltmètre,,,,,,,,,,,,,,
 ampèremètres, ampèremètre, ammeter, ammeters, energy meters, metering,,,,,,,,,,,,,,,,,
 energy meters, metering,,,,,,,,,,,,,,,,,,,,,
 wattmeter, watt meter,watt-mètre,watt-mètres, energy meters, metering, wattmeters,,,,,,,,,,,,,,,,
insulator, bushing, insulators, bushings,,,,,,,,,,,,,,,,,,,
fuse, fusible, fuses, fusibles,,,,,,,,,,,,,,,,,,,
bio énergie, bioénergie, bioenergie, biomass, bionenergy, bio énergies, bioénergies, bioenergies, bio energies,biofuel,biogas,bio methanation,,,,,,,,,,,
study,  studies,  research, report,  audit, assessment , feasability,rapport,études,study,,,,,,,,,,,,,
hydropower, hydro power, hydro electric, hydroelectric, hydro plant, waterpower, thermal,hydroélectrique, hydro électrique, hydro électriques, hydro-électriques, hydroélectriques, hydroplants, hydro plants,thermal power,thermal plant,,,,,,,
busbar, jeu de barre, bus bar, bus-bar, bus duct,jeu de barres,jeux de barres,,,,,,,,,,,,,,,,
Medium voltage transformer, MV transformer, MV transformers, Medium voltage transformers, transformateur de moyenne tension, transformateur MT,,,,,,,,,,,,,,,,,
HV transformer, High Voltage transformer, transfomateur HT,transformateur haute tension, transformador alta tension,,,,,,,,,,,,,,,,,,
MV switchgear, Medium voltage switchgear, MV Panel, cellule moyenne tension, cellule MT, Panneau de moyenne tension, MV switchgears, MV panels, celllules MT, MV switchboard, medium voltage switchboard, mv switchboards, MV cell, MV cells, medium voltage panel, medium voltage panels,,,,,,,
circuit breaker, circuit-breaker, circuit interruptor, circuit-interruptor, interruptor de circuito, disjoncteur, disjoncteurs, circuit breakers, circuit-breakers, circuit interruptors,circuit-interruptors,,,,,,,,,,,,
switch, interrupter, interruptor, interrupteur,,,,,,,,,,,,,,,,,,,
Thyristors, thyristor,thyristor GTO,Gate Turn-Off Thyristor,thyristor à extinction par la gâchette,,,,,,,,,,,,,,,,,,
smartgrid, smart grid,réseau digital, réseaux intelligents, reseau intelligent, smartgrids, smart grids,,,,,,,,,,,,,,,,
Overheadline , HV Line, High Voltage Line, HV Cable, High Voltage Cable, Power line, Transmission Line, Lignes HT, Ligne de haute tension, Cable de haute tension, Cables de haute tension, lignes de haute tension, Ligne HT, powerline, power lines, Hv lines, overheadlines, hv cables, transmission lines, powerlines,,,
Motor protection, Motor relay, protection moteur, motor protections, motor relays, protections moteur, relais moteur,,,,,,,,,,,,,,,,
Line protection, Line relay, protection de ligne, line protections, line relays, protections de ligne, relais de ligne, relais ligne,,,,,,,,,,,,,,,
distance protection, distance relay, protection de distance, distance protections, distance relays, protections de distance, relais de distance,,,,,,,,,,,,,,,,
Transformer protection, Transformer relay, protection de transformateur, relais de transformateur, relais transfomateur,,,,,,,,,,,,,,,,,,
Generator protection, Generator relay, protection generateur, relais generateur, relais de generateur, relais de générateur,,,,,,,,,,,,,,,,,
Prefabricated substations, Containerised solutions, Containerised substations, Containerized solutions,,,,,,,,,,,,,,,,,,,
AIS , Air insulated switchgear, AIS SST, AIS Substation, Air insulated substation, Air insulated switchyard,,,,,,,,,,,,,,,,,
gas insulated lines,GIL,,,,,,,,,,,,,,,,,,,,,
DMS, distribution management system,,,,,,,,,,,,,,,,,,,,,
EMS, energy management system,,,,,,,,,,,,,,,,,,,,,
surge arresters, lightning arresters, lightning arrestor, lightning, arrester, arrestor, lightning protection, surge protector, paratonnerre, parafoudre, surge protectors, arresters, arrestors, parafoudres, paratonnerres, surge suppressor, surge suppressors,,,,,,
power generation, generator, alternator, generating, alternateur , generateur, turbine,,,,,,,,,,,,,,,,
Measurement equipment, measurement, control equipment, monitoring equipment,,,,,,,,,,,,,,,,,,,
rectifier, redresseur, rectifiers, redresseurs,,,,,,,,,,,,,,,,,,,
field services, Site work, Sitework, site service, field,,,,,,,,,,,,,,,,,,
 capacitors bank, capacitance, capacitor, capacitor bank, capacitor banks, capacitors, capacitances,,,,,,,,,,,,,,,,
 wave trapper, wave trappers,Line trap, piège de ligne,piège à ondes,,,,,,,,,,,,,,,,,,
 condensator, condensateur, condensators, condensateurs,,,,,,,,,,,,,,,,,,,
commissioning, decommissioning, dismantling, mise en service, puesta en marcha,,,,,,,,,,,,,,,,,,
asset management, asset performance management,,,,,,,,,,,,,,,,,,,,,
 wiring , cabling, cablage,,,,,,,,,,,,,,,,,,,,
wind, windpower, wind power, wind-powered, windfarm, wind farm, eolic, eolian, eolien, aeolien,éolien, éolienne, windfarms, wind farms,éoliennes, eoliens, éoliens, windmill,wind mill,wind-mill, wind turbine, wind turbines,aeolic
Training, Formation,,,,,,,,,,,,,,,,,,,,,
Trading , Sales, Agent,,,,,,,,,,,,,,,,,,,,
Thyristors, Diode, semiconductor, semi-conductor, semiconducteur, semi-conducteur, diodes, semi-conductors, semiconductors, semiconducteurs, semi-conducteurs, thyristor,,,,,,,,,,,
System integrators, EPC, integrator, installateur, intégrateur,Engineering Procurement Construction,Epcista,,,,,,,,,,,,,,,,
 Switchyard, Substation, SST, Sub-station, Air insulated switchgear, Gas insulated switchgear, sousstation, sous-station, substations, switchyards, sub-stations, sous-stations,,,,,,,,,,,
Survey , Study, Review, Research, Report, audit, étude, etude, rapport, feasability, studies, study, faisabilité, assessment,,,,,,,,,
Steel Structures , Gantry, Gantries, Galvanization, Galvanized,,,,,,,,,,,,,,,,,,
Solar, photovoltaic, photovoltaïc, solaire, photovoltaique,fotovoltaic,,,,,,,,,,,,,,,,,
Sensors, Captors, capteur,,,,,,,,,,,,,,,,,,,,
Relays, Protection, Control and Protection Relays, relais, relay, protections, protection and control IED,"rehabilitation, , restoration, replacement, replace, replacing, reconstruction, retrofit, refurbish, expansion, extension, modernization, renovation, uprate, uprating, reconductoring, refurbishing, restoring, renovating, renovate, restore, renew, revamp, revamping",,,,,,,,,,,,,,,
Refurbishment,Renovation,revamping,restoration,retrofit,refurbish,renovation,refurbishing,restoring,renovating,renovate,restore,renew,revamp,,,,,,,,,
upgrade,upgrading ,upgradation,uprate,uprating,,,,,,,,,,,,,,,,,,
Programable Logic Controllers, PLCs,PLC,,,,,,,,,,,,,,,,,,,,
Process Automation & Control , Protection & control, Control & protection , Grid Automation, C&P,Process Automation and Control , Protection and control, Control and protection , C and P,,,,,,,,,,,,,,
Panels, Switchboard, cabinet, enclosure , Panneaux de distribution, armoires, panel, cabinets, enclosures, switchboards, armoire,cubicle,cubicles,,,,,,,,,,
O&G , Oil & gas,oil and gas,oil and gaz,oil & gaz,,,,,,,,,,,,,,,,,,
Network Management system, NMS,,,,,,,,,,,,,,,,,,,,,
MV equipment, Medium Voltage equipment, medium voltage, MV,,,,,,,,,,,,,,,,,,,
Monitoring & diagnosis, M&D, monitoring, diagnosis,,,,,,,,,,,,,,,,,,,
Mobile substation, Mobile SST,,,,,,,,,,,,,,,,,,,,,
LV equipment, Low voltage equipement, LV Apparatus, Low Voltage apparatus, équipement de basse tension, équipement BT,,,,,,,,,,,,,,,,,
Instrument transformers, Current Transformer, Voltage Tansformer , CT/VT, CTVT, current transformers, voltage transformers, instrument transformer,transformateur de courrant,,,,,,,,,,,,,,
HV equipment, High Votage Equipment, High Voltage Apparatus, High Voltage, HV, Equipement HT, Equipements HT, Equipements haute tension, Equipement Haute Tension,,,,,,,,,,,,,,
Grid stability, Voltage stability, Frequency stability,,,,,,,,,,,,,,,,,,,,
Gas insulated Switchgear, GIS, Gas Insulated switchyard, GIS Substation, GIS SST,,,,,,,,,,,,,,,,,,
Fire fighting system, Fire suppression system, Fire storage tank, Fire pumping system, Fire extinguisher, Fire Hydrant System, fire system, fire detector, détecteur, detecteur, extincteur, feu, incendie, fumée, detecteurs, détecteurs, extincteurs, fire systems, fire detectors,,,,
Electrical design, Drawings, specs, design, specifications,,,,,,,,,,,,,,,,,,
EHS, Environment, Health, safety,,,,,,,,,,,,,,,,,,,
Generator,générateur,generating unit,,,,,,,,,,,,,,,,,,,,
Genset, groupe électrogène, emergency generator, critical generator, diesel generator, diesel generators, critical generators, emergency generators, groupes electrogenes, groupes électrogène, gensets, diesel power,generating set,,,,,,,,,,
critical, emergency,critic,critique,urgent,,,,,,,,,,,,,,,,,,
Cooling system, cooler, cooling device, cooling apparatus, cooling, coolers, water cooler, water coolers, cooling tower, cooling towers, cooling fan, cooling fans, cooling water,,,,,,,,,,
Consulting, Consultant,advisor,,,,,,,,,,,,,,,,,,,,
Construction equipment, Building, Civil Work, Crane, construction, génie civil,,,,,,,,,,,,,,,,,
Connectors, Connection device, connecteur, connector,,,,,,,,,,,,,,,,,,,
Energy storage, storage device, stockage dénergie, storage system, storage solution,,,,,,,,,,,,,,,,,,
IPP,Independant Power Producer,Producteur d'électricité indépendant,Producteur d'électricité non-public,non-utility generator,NUG,Producteur d'électricité non public,non utility generator,independent Energy producer,independant Energy producer,local power producer,local energy producer,producteurs indépendents d’électricité,"Build, own, operate and transfer","Build, own, operate",Independent Power Producer,,,,,,,
THT,très haute tension,extra high voltage,EHV,extra-high voltage,,,,,,,,,,,,,,,,,,
TBT,très basse tension,ELV,extra low voltage,extra-low voltage,,,,,,,,,,,,,,,,,,
power transformer,transformateur de puissance,,,,,,,,,,,,,,,,,,,,,
SF6,hexafluorure de soufre,sulfur hexafluoride,,,,,,,,,,,,,,,,,,,,
